serial no.,state,district,Murder with Rape/Gang Rape,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),"Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19)
Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52)
",Kidnapping & Abduction (Sec. 336 IPC),Kidnapping & Abduction in order to Murder (Sec. 364 IPC),Kidnapping for Ransom (Sec. 364A IPC),K&A of Women to compel her for marriage (Total) (Col.15+Col.16),Women (Above 18 yrs),Girls (Below 18 yrs),Procuration of Minor Girls (Sec. 366A IPC),"Kidnapping and Abduction of Women – Others (Secs.363A, 365, 367, 368, 369 IPC)",Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),"Rape (Col.24+Col.25) 

",Women (18 Yrs. And above),Girls (Below 18 yrs).1,"Attempt to Commit Rape (Col.27+Col.28)
",Women (18 Yrs. And above).1,Girls (Below 18 yrs).2,"Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31)
",Women (18 Yrs. And above).2,Girls (Below 18 yrs).3,"Insult to the Modesty of Women (Col.33+Col.34)
",Women (18 Yrs. And above).3,Girls (Below 18 yrs).4,"Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41)
","Procuring, inducing Children for the sake of prostitution (Section 5)",Detaining a person in premises where prostitution is carried on (Section 6),Prostitution in or in the vicinity of public places (Section 7),Seducing or soliciting for purpose of prostitution (Section 8),Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC),Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC),Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC),"Indecent Representation of Women (Prohibition) Act, 1986",total crimes,Latitude,Longitude,weighted_crimes,normalized_crimes,safety_score
610,Rajasthan,Jaipur Rural,1,0,0,147,41,0,0,10,10,0,1,95,0,0,0,122,122,0,27,27,0,183,183,0,1,1,0,0,0,0,0,0,57,21,2,0,1051,26.9826904,76.0128262,265,0.03803099885189438,96.19690011481056
611,Rajasthan,Jaipur South,0,0,0,120,116,0,0,3,3,0,0,1,0,0,0,118,118,0,6,6,0,176,176,0,0,0,0,0,0,0,0,0,24,11,2,0,880,51.591574,0.028378,696,0.09988518943742825,90.01148105625718
612,Rajasthan,Jaipur West,0,0,0,166,75,0,0,4,3,1,0,87,0,0,0,152,152,0,8,8,0,142,142,0,0,0,0,1,0,0,0,0,34,24,0,0,999,22.5905564,87.9314803,450,0.0645809414466131,93.5419058553387
613,Rajasthan,Jaisalmer,0,0,0,19,8,0,0,10,2,8,0,1,0,0,0,29,29,0,11,11,0,128,128,0,2,2,0,0,0,0,0,0,7,12,0,0,407,27.0264162,70.77751198,48,0.006888633754305396,99.31113662456946
614,Rajasthan,Jalore,0,0,0,93,58,0,0,24,24,0,0,11,0,0,0,76,76,0,13,13,0,218,218,0,0,0,0,2,0,0,0,0,55,45,0,0,926,25.27186295,72.43881215,348,0.04994259471871412,95.00574052812858
615,Rajasthan,Jhalawar,0,1,0,179,156,0,1,18,15,3,0,4,0,0,0,123,123,0,8,8,0,239,239,0,4,4,0,0,0,0,0,0,43,67,1,0,1236,24.3132368,76.52210783,954,0.13691159586681975,86.30884041331802
616,Rajasthan,Jhunjhunu,0,0,0,128,65,0,0,63,34,29,0,0,0,0,0,88,88,0,19,19,0,69,69,0,1,1,0,3,0,0,0,0,30,10,2,0,718,28.0810679,75.37924775,390,0.055970149253731345,94.40298507462687
617,Rajasthan,Jodhpur East,0,0,0,60,21,0,0,0,0,0,0,39,0,0,0,81,81,0,0,0,0,185,185,0,1,1,0,1,0,0,0,0,21,42,5,0,723,51.5703388,0.4607018,126,0.018082663605051664,98.19173363949484
618,Rajasthan,Jodhpur West,0,0,0,96,80,0,0,10,7,3,0,6,0,0,0,64,64,0,4,4,0,215,215,0,18,18,0,1,1,0,0,0,43,26,0,0,875,22.5056055,88.363674,488,0.07003444316877153,92.99655568312285
619,Rajasthan,Jodhpur Rural,0,0,0,77,13,0,0,1,0,1,0,63,1,0,0,68,68,0,25,25,0,159,159,0,2,2,0,0,0,0,0,0,37,35,0,0,736,26.41112295,72.41050985,78,0.01119402985074627,98.88059701492537
620,Rajasthan,Karauli,0,0,0,162,61,0,0,86,86,0,0,15,0,0,0,111,111,0,74,74,0,173,173,0,0,0,0,0,0,0,0,0,28,25,2,0,1181,26.4530971,77.01604608,366,0.052525832376578645,94.74741676234214
621,Rajasthan,Kota City,0,1,0,162,155,0,0,3,3,0,0,4,1,0,0,158,158,0,4,4,0,216,216,0,6,6,0,1,0,0,0,0,30,52,3,0,1183,25.1737019,75.8574194,939,0.13475889781859932,86.52411021814007
622,Rajasthan,Kota Rural,0,0,0,97,45,0,0,3,3,0,0,49,0,0,0,70,70,0,7,7,0,161,161,0,0,0,0,0,0,0,0,0,21,16,0,0,710,25.2016937,75.8536059,270,0.03874856486796786,96.12514351320321
623,Rajasthan,Nagaur,2,0,0,161,98,0,0,42,41,1,0,21,1,0,0,158,158,0,46,46,0,309,309,0,1,1,0,6,0,0,0,0,68,58,0,0,1527,26.9873443,73.73890107,608,0.08725602755453502,91.2743972445465
624,Rajasthan,Pali,0,0,0,158,51,0,0,38,38,0,0,69,0,0,0,145,145,0,18,18,0,347,347,0,0,0,0,6,0,0,0,0,15,13,2,0,1410,25.45522105,73.41938896,306,0.0439150401836969,95.60849598163031
625,Rajasthan,Pratapgarh,0,0,0,183,123,0,0,60,58,2,0,0,0,0,0,171,171,0,23,23,0,233,233,0,1,1,0,0,0,0,0,0,51,13,0,0,1346,25.75,81.75,738,0.10591274397244546,89.40872560275545
626,Rajasthan,Rajsamand,0,0,0,151,139,0,0,4,3,1,0,8,0,0,0,70,70,0,7,7,0,147,147,0,1,1,0,4,0,0,4,0,24,20,0,0,808,25.2892459,73.82410775,858,0.12313432835820896,87.68656716417911
627,Rajasthan,Sawai Madhopur,0,0,0,102,22,0,0,74,45,29,0,6,1,0,0,104,104,0,41,41,0,155,155,0,0,0,0,0,0,0,0,0,31,29,2,0,941,26.1137182,76.42406373,132,0.01894374282433984,98.10562571756601
628,Rajasthan,Sikar,0,0,0,205,101,0,0,20,17,3,0,84,1,0,0,135,135,0,33,33,0,148,148,0,0,0,0,0,0,0,0,0,64,54,3,0,1184,27.6625058,75.02799053,606,0.08696900114810563,91.30309988518943
629,Rajasthan,Sirohi,1,0,0,94,40,0,0,13,11,2,0,41,0,0,0,89,89,0,24,24,0,225,225,0,1,1,0,3,1,0,0,0,35,20,2,0,941,24.8114047,72.83002573,258,0.037026406429391506,96.29735935706086
630,Rajasthan,Tonk,0,0,0,112,67,0,0,8,8,0,0,37,0,0,0,102,102,0,16,16,0,109,109,0,1,1,0,1,1,0,0,0,28,31,3,0,752,26.122266,75.82386305,410,0.05884041331802526,94.11595866819748
631,Rajasthan,Udaipur,0,0,0,497,429,0,0,47,43,4,0,21,0,0,0,283,283,0,35,35,0,455,455,0,3,3,0,2,0,0,1,0,110,28,2,0,2736,24.578721,73.6862571,2580,0.37026406429391506,62.9735935706085
632,Rajasthan,Jaipur Metro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.98744185,75.77407879,0,0.0,100.0
633,Rajasthan,SCRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47.9911616,-73.1412091,0,0.0,100.0
634,Rajasthan,SOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8902522,93.7840126,0,0.0,100.0
635,Rajasthan,SSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4436932,-9.0996273,0,0.0,100.0
636,Rajasthan,Jaipur Crime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2516657,76.8144185,0,0.0,100.0
637,Rajasthan,Bhiwadi,0,0,0,193,80,1,0,37,37,0,0,75,0,0,0,169,169,0,35,35,0,175,175,0,0,0,0,3,0,0,0,0,21,14,1,0,1220,28.2039413,76.837441,490,0.07032146957520093,92.9678530424799
638,Sikkim,Gangtok (East),0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,8,8,0,2,2,0,0,0,0,0,0,26,5,0,0,105,27.3401297,88.5792752,132,0.01894374282433984,98.10562571756601
639,Sikkim,Mangan (North),0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,15,3.5291981,115.8100684,12,0.001722158438576349,99.82778415614236
640,Sikkim,Namchi (South),0,0,0,6,5,0,0,0,0,0,1,0,0,0,0,5,5,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,15,9,0,0,58,27.329672,88.6116536,39,0.005597014925373135,99.44029850746269
641,Sikkim,Soreng (West),0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,6,0,0,16,27.1736956,88.2023787,0,0.0,100.0
642,Sikkim,Pakyong (East),0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,11,1,1,0,31,27.2351512,88.5938814,0,0.0,100.0
643,Sikkim,Gyalshing (West),0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,11,3,0,0,24,27.3634443,87.8556102,12,0.001722158438576349,99.82778415614236
644,Tamil Nadu,Ariyalur,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,7,7,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,76,14,9,0,132,11.1530559,79.25857974,6,0.0008610792192881745,99.91389207807119
645,Tamil Nadu,Chennai,0,1,0,7,0,0,1,3,2,1,3,0,0,0,0,36,36,0,0,0,0,139,139,0,14,14,0,58,0,5,0,0,196,77,28,0,760,13.0836939,80.270186,80,0.011481056257175661,98.85189437428244
646,Tamil Nadu,Coimbatore,0,0,0,6,0,0,1,5,3,2,0,0,0,0,0,13,13,0,0,0,0,21,21,0,0,0,0,24,0,0,0,0,160,41,16,0,326,11.0018115,76.9628425,9,0.0012916188289322618,99.87083811710677
647,Tamil Nadu,Coimbatore City,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,10,10,0,0,0,0,8,0,0,0,0,45,30,0,0,123,11.0018115,76.9628425,18,0.0025832376578645237,99.74167623421354
648,Tamil Nadu,Cuddalore,0,0,0,86,0,0,0,86,86,0,0,0,0,0,0,26,26,0,0,0,0,37,37,0,0,0,0,3,0,0,0,0,124,66,0,0,577,11.52020705,79.33963565,0,0.0,100.0
649,Tamil Nadu,Dharmapuri,0,0,0,12,8,0,0,3,1,2,0,1,0,0,0,7,7,0,0,0,0,27,27,0,1,1,0,1,0,0,0,0,96,13,9,0,216,12.14561305,78.11322172,48,0.006888633754305396,99.31113662456946
650,Tamil Nadu,Dindigul,1,0,0,21,7,0,0,3,3,0,11,0,0,0,0,6,6,0,0,0,0,40,40,0,1,1,0,6,0,0,0,0,96,7,10,0,259,10.42568965,77.815664,151,0.02167049368541906,97.83295063145809
651,Tamil Nadu,Erode,0,0,0,4,1,0,0,2,2,0,1,0,0,0,0,6,6,0,0,0,0,28,28,0,0,0,0,13,0,0,0,13,149,20,0,0,273,11.49052815,77.3505274,93,0.013346727898966706,98.66532721010333
652,Tamil Nadu,Kanchipuram,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,38,2,0,0,52,12.9647163,79.9839686,6,0.0008610792192881745,99.91389207807119
653,Tamil Nadu,Kanyakumari,0,0,0,27,0,0,0,27,2,25,0,0,0,0,0,4,4,0,0,0,0,40,40,0,1,1,0,0,0,0,0,0,69,28,5,0,273,8.079252,77.5499338,0,0.0,100.0
654,Tamil Nadu,Karur,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,5,5,0,2,2,0,8,8,0,0,0,0,6,1,0,0,0,52,10,9,0,114,10.8217671,78.38286541,8,0.001148105625717566,99.88518943742825
655,Tamil Nadu,Krishnagiri,0,0,0,7,0,0,1,6,0,6,0,0,0,0,0,3,3,0,0,0,0,19,19,0,0,0,0,2,2,0,0,0,79,13,2,0,162,12.5188835,78.2206536,25,0.003587830080367394,99.64121699196326
656,Tamil Nadu,Madurai,0,0,0,21,0,0,0,13,13,0,8,0,0,0,0,20,20,0,2,2,0,50,50,0,2,2,0,0,0,0,0,0,140,23,15,0,381,9.9261153,78.1140983,72,0.010332950631458095,98.96670493685419
657,Tamil Nadu,Madurai City,0,0,0,6,0,0,1,4,2,2,0,1,0,0,0,13,13,0,0,0,0,37,37,0,1,1,0,8,8,0,0,0,95,36,0,0,265,9.9268962,78.1434533,73,0.01047646383467279,98.95235361653272
658,Tamil Nadu,Nagapattinam,0,0,0,10,0,0,0,9,4,5,1,0,0,0,0,8,8,0,1,1,0,58,58,0,1,1,0,0,0,0,0,0,72,29,4,0,270,10.60262025,79.7619348,9,0.0012916188289322618,99.87083811710677
659,Tamil Nadu,Namakkal,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,6,6,0,0,0,0,37,37,0,0,0,0,5,0,0,0,0,101,15,4,0,216,11.30338895,78.11860402,6,0.0008610792192881745,99.91389207807119
660,Tamil Nadu,Nilgiris,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,10,0,2,2,0,0,0,0,0,0,54,9,0,0,97,11.4449997,76.69751998,6,0.0008610792192881745,99.91389207807119
661,Tamil Nadu,Perambalur,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6,6,0,1,1,0,16,16,0,0,0,0,0,0,0,0,0,46,15,6,0,116,11.2356695,78.8688353,0,0.0,100.0
662,Tamil Nadu,Pudukottai,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,6,6,0,0,0,0,54,54,0,2,2,0,0,0,0,0,0,45,14,11,0,206,10.3826515,78.8191259,0,0.0,100.0
663,Tamil Nadu,Ramnathapuram,0,0,0,26,20,0,0,6,6,0,0,0,1,0,0,15,15,0,2,2,0,15,15,0,0,0,0,0,0,0,0,0,63,39,9,0,234,9.5,78.5,120,0.017221584385763492,98.27784156142366
664,Tamil Nadu,Railway Chennai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,6,0,0,14,13.07835835,80.26116851,0,0.0,100.0
665,Tamil Nadu,Railway Trichy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.8221607,78.656575,0,0.0,100.0
666,Tamil Nadu,Salem,0,0,0,23,0,0,0,23,23,0,0,0,0,0,0,5,5,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,125,13,34,0,391,44.9391565,-123.033121,0,0.0,100.0
667,Tamil Nadu,Salem City,0,0,0,44,6,0,0,35,5,30,2,1,0,0,0,2,2,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,43,20,11,0,259,3.9564288,11.59285406,54,0.007749712973593571,99.22502870264064
668,Tamil Nadu,Sivagangai,0,0,0,23,16,0,0,5,5,0,2,0,0,0,0,10,10,0,1,1,0,30,30,0,0,0,0,0,0,0,0,0,84,26,3,0,246,9.9650599,78.72042832,114,0.016360505166475317,98.36394948335247
669,Tamil Nadu,Thanjavur,1,0,1,8,0,0,0,8,6,2,0,0,0,0,0,8,8,0,0,0,0,138,138,0,6,6,0,0,0,0,0,0,99,21,20,0,470,10.65903695,79.20142776,18,0.0025832376578645237,99.74167623421354
670,Tamil Nadu,Theni,1,0,0,5,4,0,0,1,0,1,0,0,0,0,0,10,10,0,0,0,0,43,43,0,0,0,0,4,4,0,0,0,153,20,19,0,318,9.86925575,77.42229738,66,0.00947187141216992,99.05281285878301
671,Tamil Nadu,Thirunelveli,0,0,0,16,1,0,0,14,13,1,0,1,1,0,0,15,10,5,1,1,0,59,57,2,0,0,0,3,0,0,0,0,60,24,5,0,289,9.6907331,80.0284706,6,0.0008610792192881745,99.91389207807119
672,Tamil Nadu,Thirunelveli City,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,18,18,0,0,0,0,8,8,0,0,0,24,12,1,0,97,8.7215526,77.6597751,64,0.009184845005740528,99.08151549942595
673,Tamil Nadu,Thiruvallur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,2,2,0,14,14,0,0,0,0,0,0,0,0,0,43,3,11,0,112,13.25376185,80.05625724,10,0.0014351320321469576,99.8564867967853
674,Tamil Nadu,Thiruvannamalai,0,0,0,4,0,0,0,4,2,2,0,0,0,0,0,8,8,0,1,1,0,22,22,0,0,0,0,0,0,0,0,0,113,17,12,0,216,9.539867,77.6197904,0,0.0,100.0
675,Tamil Nadu,Thiruvarur,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,9,9,0,0,0,0,13,13,0,3,3,0,1,1,0,0,0,57,7,12,0,149,10.6878621,79.49794371,8,0.001148105625717566,99.88518943742825
676,Tamil Nadu,Thoothukudi,0,0,0,27,3,0,0,24,5,19,0,0,0,0,0,14,14,0,1,1,0,42,41,1,3,3,0,5,5,0,0,0,90,31,9,0,338,8.84570345,77.99381784,58,0.008323765786452353,99.16762342135476
677,Tamil Nadu,Tiruppur,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,18,18,0,0,0,0,5,0,0,0,0,87,32,0,0,178,10.79152665,77.53254663,6,0.0008610792192881745,99.91389207807119
678,Tamil Nadu,Tiruppur City,0,0,0,16,5,0,0,11,3,8,0,0,0,0,0,2,2,0,0,0,0,2,2,0,1,1,0,2,2,0,0,0,52,18,3,0,130,11.1017815,77.345192,46,0.006601607347876005,99.3398392652124
679,Tamil Nadu,Trichy,0,0,0,9,0,0,0,9,4,5,0,0,0,0,0,16,16,0,2,2,0,42,42,0,7,7,0,4,0,4,0,0,75,10,13,0,267,10.804973,78.6870296,28,0.004018369690011481,99.59816303099885
680,Tamil Nadu,Trichy City,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,15,15,0,0,0,0,17,0,0,0,0,34,7,6,0,106,10.8158337,78.6066253,10,0.0014351320321469576,99.8564867967853
681,Tamil Nadu,Vellore,0,0,0,4,0,0,0,1,1,0,3,0,0,0,0,2,2,0,0,0,0,13,13,0,1,1,0,0,0,0,0,0,49,14,4,0,108,12.9021849,79.06110399,27,0.0038748564867967855,99.61251435132033
682,Tamil Nadu,Villupuram,0,0,0,43,0,0,0,43,13,30,0,0,0,0,0,22,22,0,0,0,0,14,14,0,0,0,0,8,0,0,0,0,59,18,6,0,292,11.9398285,79.4945645,0,0.0,100.0
683,Tamil Nadu,Virudhunagar,0,0,1,8,6,0,0,1,1,0,1,0,0,0,0,17,17,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,147,22,14,0,301,9.4926289,77.86318306,53,0.007606199770378875,99.23938002296211
684,Tamil Nadu,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05453455,76.53512052,0,0.0,100.0
685,Tamil Nadu,Other Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7566108,-122.4702967,0,0.0,100.0
686,Tamil Nadu,Chengalpattu,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,30,10,3,0,72,12.6840886,79.9836371,15,0.0021526980482204365,99.78473019517796
687,Tamil Nadu,Kallakurichi,0,0,0,20,0,0,0,20,20,0,0,0,0,0,0,8,8,0,0,0,0,38,38,0,0,0,0,2,0,0,2,0,60,14,2,0,232,11.79468465,79.03882106,12,0.001722158438576349,99.82778415614236
688,Tamil Nadu,Ranipet,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,0,1,0,0,18,7,3,0,58,12.9292452,79.3321712,13,0.0018656716417910447,99.81343283582089
689,Tamil Nadu,Tiruppattur,1,0,0,9,0,0,0,9,2,7,0,0,0,0,0,4,4,0,0,0,0,15,15,0,4,4,0,2,0,0,0,0,51,11,0,0,138,10.1095888,78.6014428,10,0.0014351320321469576,99.8564867967853
690,Tamil Nadu,Tenkasi,1,0,0,9,6,0,0,3,3,0,0,0,0,0,0,8,8,0,2,2,0,59,59,0,1,1,0,4,4,0,0,0,93,28,9,0,300,8.9560546,77.3058504,78,0.01119402985074627,98.88059701492537
691,Tamil Nadu,Avadi,0,0,0,6,1,0,2,1,1,0,2,0,0,0,0,10,10,0,0,0,0,8,7,1,3,1,2,6,6,0,0,0,85,35,15,0,202,13.1194809,80.1026704,90,0.012916188289322618,98.70838117106774
692,Tamil Nadu,Tambaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,6,6,0,2,2,0,0,0,0,0,0,46,21,4,0,121,12.9257923,80.1179194,0,0.0,100.0
693,Telangana,Cyberabad Commissionerate,3,1,1,486,444,0,1,38,1,37,0,3,148,0,0,124,124,0,0,0,0,489,489,0,107,107,0,0,0,0,0,0,224,82,6,0,2915,17.4325045,78.3701881,2720,0.39035591274397247,60.96440872560276
694,Telangana,Hyderabad Commissionerate,0,0,2,346,323,0,0,15,3,12,8,0,0,0,0,104,104,0,0,0,0,468,468,0,207,207,0,0,0,0,0,0,245,119,7,0,2638,17.4325045,78.3701881,2026,0.2907577497129736,70.92422502870264
695,Telangana,Karimnagar Commissionerate,0,0,0,36,3,0,0,32,16,16,0,1,0,0,0,10,10,0,0,0,0,160,135,25,6,6,0,1,0,0,0,0,23,0,0,0,480,18.4347207,79.1255315,18,0.0025832376578645237,99.74167623421354
696,Telangana,Khammam Commissionerate,0,0,0,83,82,0,0,1,1,0,0,0,0,0,0,18,18,0,4,4,0,162,162,0,17,17,0,8,1,0,0,0,37,57,3,0,675,17.2341687,80.1338238,500,0.07175660160734788,92.8243398392652
697,Telangana,Nizamabad Commissionerate,1,0,0,60,57,0,0,1,0,1,2,0,3,0,0,17,17,0,1,1,0,156,156,0,52,52,0,0,0,0,0,0,43,19,2,0,641,18.6734539,78.0851747,370,0.05309988518943743,94.69001148105626
698,Telangana,Rachakonda Commissionerate,0,0,0,134,121,0,0,0,0,0,0,13,0,0,0,172,172,0,0,0,0,888,888,0,255,255,0,0,0,0,0,0,263,255,0,0,3416,17.3577574,78.3902133,726,0.10419058553386912,89.58094144661308
699,Telangana,Ramagundam Commissionerate,0,0,0,59,57,0,0,1,0,1,1,0,0,0,0,11,11,0,3,2,1,219,219,0,13,13,0,1,0,1,0,0,48,28,0,0,689,18.7630493,79.4897757,358,0.05137772675086108,94.86222732491389
700,Telangana,Siddipet Commissionerate,0,0,0,47,43,0,0,0,0,0,1,3,0,0,0,23,23,0,0,0,0,109,109,0,8,8,0,0,0,0,0,0,58,22,0,0,454,28.2516657,76.8144185,267,0.038318025258323764,96.16819747416763
701,Telangana,Warangal Commissionerate,0,0,0,177,159,0,0,5,3,2,1,12,0,0,0,50,50,0,2,2,0,254,254,0,31,31,0,0,0,0,0,0,83,50,1,0,1167,18.0085859,79.5552432,963,0.138203214695752,86.1796785304248
702,Telangana,Adilabad,0,1,0,20,15,0,0,0,0,0,2,3,2,0,0,17,17,0,3,0,3,67,67,0,13,13,0,0,0,0,0,0,22,13,8,0,286,19.54570375,78.6086759,117,0.016791044776119403,98.32089552238806
703,Telangana,Bhadradri Kothagudem,0,1,0,92,76,0,0,6,4,2,10,0,2,0,0,24,24,0,1,1,0,126,126,0,7,7,0,0,0,0,0,0,42,48,0,0,599,17.71666325,80.57126094,555,0.07964982778415615,92.03501722158438
704,Telangana,Jagityal,0,0,0,32,25,0,0,7,1,6,0,0,2,0,0,9,9,0,2,0,2,177,177,0,0,0,0,1,1,0,0,0,26,22,0,0,499,18.8249636,78.87883316,158,0.02267508610792193,97.73249138920781
705,Telangana,Jayashankar Bhupalpalli,0,0,0,34,31,0,0,3,3,0,0,0,0,0,0,5,5,0,0,0,0,71,68,3,0,0,0,0,0,0,0,0,6,0,0,0,229,18.4277439,79.8204068,186,0.02669345579793341,97.33065442020667
706,Telangana,Jogulamba Gadwal,0,0,0,13,4,0,0,9,1,8,0,0,0,0,0,6,6,0,0,0,0,47,47,0,1,1,0,0,0,0,0,0,54,12,0,0,209,16.0999202,77.73415835,24,0.003444316877152698,99.65556831228473
707,Telangana,Kamareddy ,0,0,0,4,1,0,0,3,0,3,0,0,0,0,0,9,9,0,0,0,0,80,70,10,14,14,0,0,0,0,0,0,27,17,0,0,261,18.316551,78.05393808,6,0.0008610792192881745,99.91389207807119
708,Telangana,Kumaram Bheem Asifabad,0,0,0,35,32,0,0,2,1,1,1,0,0,0,0,17,17,0,2,2,0,19,19,0,5,5,0,1,1,0,0,0,11,4,0,0,175,19.364921,79.2706774,209,0.029994259471871412,97.00057405281287
709,Telangana,Mahabubabad,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,23,23,0,1,0,1,90,90,0,20,19,1,0,0,0,0,0,27,17,0,0,444,17.7138983,80.04134253,396,0.05683122847301952,94.31687715269805
710,Telangana,Mahabubnagar,0,0,0,88,33,0,0,54,0,54,1,0,0,0,0,11,11,0,0,0,0,101,84,17,3,3,0,3,0,0,0,0,92,4,0,0,559,16.69656855,77.95911462,207,0.029707233065442023,97.0292766934558
711,Telangana,Medak,1,0,0,40,40,0,0,0,0,0,0,0,2,0,0,5,5,0,0,0,0,71,71,0,6,6,0,0,0,0,0,0,51,15,2,0,315,17.9375095,78.21174499,250,0.03587830080367394,96.4121699196326
712,Telangana,Nagarkurnool,0,0,0,49,45,0,0,3,0,3,0,1,0,0,0,14,14,0,2,2,0,109,109,0,22,22,0,0,0,0,0,0,55,15,0,0,465,16.41576265,78.68304333,270,0.03874856486796786,96.12514351320321
713,Telangana,Nalgonda,0,0,0,61,53,0,0,3,1,2,1,4,0,0,0,31,31,0,8,8,0,204,204,0,54,54,0,0,0,0,0,0,59,30,0,0,808,16.8579636,79.21749353,327,0.046928817451205515,95.30711825487946
714,Telangana,Nirmal,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,47,47,0,0,0,0,0,0,0,0,0,9,0,0,0,185,19.09152095,78.39660898,198,0.02841561423650976,97.15843857634903
715,Telangana,Rajanna Siricilla,0,0,0,22,2,0,0,20,5,15,0,0,0,0,0,21,21,0,0,0,0,85,31,54,5,5,0,0,0,0,0,0,21,0,0,0,307,18.4353596,78.9805471,12,0.001722158438576349,99.82778415614236
716,Telangana,Sangareddy,0,0,0,19,0,0,0,6,6,0,12,1,0,0,0,24,24,0,0,0,0,69,69,0,4,4,0,0,0,0,0,0,50,10,0,0,298,17.86859205,77.82281995,108,0.015499425947187142,98.45005740528129
717,Telangana,Suryapet,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,23,23,0,4,4,0,214,214,0,56,56,0,1,0,0,0,0,49,32,0,0,758,17.08001385,79.79253297,246,0.035304247990815156,96.46957520091848
